0,1,2,3,4,5,6,7,8,9,10
UHT-milk,hard cheese,,,,,,,,,
white bread,photo/film,,,,,,,,,
dessert,other vegetables,,,,,,,,,
citrus fruit,butter,UHT-milk,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
hard cheese,dessert,,,,,,,,,
butter,cleaner,red/blush wine,,,,,,,,
sausage,whole milk,,,,,,,,,
root vegetables,soda,specialty bar,other vegetables,frozen vegetables,,,,,,
chocolate,frankfurter,yogurt,margarine,canned vegetables,,,,,,
soda,salty snack,candy,,,,,,,,
root vegetables,sugar,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
root vegetables,sliced cheese,shopping bags,sliced cheese,,,,,,,
beef,pastry,curd,,,,,,,,
canned beer,pastry,butter,,,,,,,,
pork,canned fish,,,,,,,,,
citrus fruit,roll products ,,,,,,,,,
pip fruit,root vegetables,pip fruit,spread cheese,,,,,,,
dog food,brown bread,salty snack,,,,,,,,
yogurt,other vegetables,,,,,,,,,
chewing gum,rolls/buns,,,,,,,,,
frankfurter,dessert,,,,,,,,,
tropical fruit,rolls/buns,fruit/vegetable juice,,,,,,,,
butter milk,other vegetables,,,,,,,,,
white wine,cat food,,,,,,,,,
oil,processed cheese,,,,,,,,,
baking powder,frozen potato products,,,,,,,,,
sugar,coffee,cream cheese ,bottled water,,,,,,,
butter milk,yogurt,,,,,,,,,
soda,hard cheese,,,,,,,,,
berries,root vegetables,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
root vegetables,napkins,,,,,,,,,
sausage,bottled beer,,,,,,,,,
flower (seeds),sliced cheese,soups,,,,,,,,
sparkling wine,canned beer,,,,,,,,,
dessert,domestic eggs,candles,whole milk,,,,,,,
sausage,frankfurter,herbs,rice,,,,,,,
canned beer,sugar,,,,,,,,,
chicken,beef,,,,,,,,,
beef,newspapers,,,,,,,,,
dish cleaner,curd,,,,,,,,,
ham,red/blush wine,,,,,,,,,
whole milk,pastry,,,,,,,,,
curd,red/blush wine,,,,,,,,,
butter,baking powder,brown bread,,,,,,,,
soda,whole milk,,,,,,,,,
candy,domestic eggs,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
citrus fruit,curd,,,,,,,,,
frozen vegetables,beef,UHT-milk,abrasive cleaner,,,,,,,
pork,shopping bags,,,,,,,,,
hamburger meat,soda,,,,,,,,,
brown bread,long life bakery product,,,,,,,,,
hard cheese,soda,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
white wine,dishes,,,,,,,,,
rolls/buns,liquor (appetizer),,,,,,,,,
canned fish,whole milk,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
beverages,tropical fruit,ham,flour,,,,,,,
pastry,whole milk,citrus fruit,newspapers,,,,,,,
yogurt,other vegetables,,,,,,,,,
whole milk,beef,citrus fruit,newspapers,bottled water,,,,,,
tropical fruit,whole milk,brown bread,pastry,,,,,,,
sausage,tropical fruit,rolls/buns,,,,,,,,
sliced cheese,bottled water,,,,,,,,,
yogurt,bottled beer,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
dessert,house keeping products,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
dessert,bottled water,,,,,,,,,
bottled beer,soda,,,,,,,,,
bottled water,chocolate,jam,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
potato products,oil,,,,,,,,,
chicken,bottled water,brown bread,hygiene articles,,,,,,,
yogurt,roll products ,,,,,,,,,
rolls/buns,curd cheese,,,,,,,,,
white wine,photo/film,whipped/sour cream,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
whole milk,soda,,,,,,,,,
salty snack,shopping bags,,,,,,,,,
pip fruit,frozen vegetables,bottled water,,,,,,,,
specialty chocolate,brown bread,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
ice cream,grapes,,,,,,,,,
coffee,domestic eggs,,,,,,,,,
frozen meals,bottled water,,,,,,,,,
rolls/buns,white bread,,,,,,,,,
yogurt,hard cheese,,,,,,,,,
meat,ice cream,,,,,,,,,
meat,canned beer,soda,,,,,,,,
tropical fruit,ice cream,newspapers,,,,,,,,
beef,bottled beer,,,,,,,,,
berries,specialty bar,,,,,,,,,
pickled vegetables,canned beer,,,,,,,,,
cream cheese ,popcorn,frozen fish,,,,,,,,
chicken,whole milk,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
whole milk,candy,semi-finished bread,candy,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pip fruit,other vegetables,semi-finished bread,sliced cheese,,,,,,,
frozen dessert,misc. beverages,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
yogurt,napkins,,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
sausage,curd,,,,,,,,,
UHT-milk,other vegetables,cream cheese ,rolls/buns,,,,,,,
other vegetables,liquor,,,,,,,,,
whisky,shopping bags,rum,,,,,,,,
tropical fruit,spices,,,,,,,,,
canned vegetables,white bread,,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
chicken,brown bread,soda,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
misc. beverages,tropical fruit,yogurt,specialty chocolate,,,,,,,
rolls/buns,cereals,,,,,,,,,
beef,whole milk,candy,,,,,,,,
tropical fruit,hygiene articles,candles,,,,,,,,
misc. beverages,sliced cheese,domestic eggs,,,,,,,,
spread cheese,yogurt,soda,shopping bags,,,,,,,
whole milk,rice,,,,,,,,,
onions,citrus fruit,frozen vegetables,coffee,,,,,,,
root vegetables,root vegetables,,,,,,,,,
bottled beer,packaged fruit/vegetables,,,,,,,,,
frankfurter,whole milk,red/blush wine,rolls/buns,,,,,,,
curd,newspapers,,,,,,,,,
beef,berries,root vegetables,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
curd,pip fruit,,,,,,,,,
curd,yogurt,detergent,,,,,,,,
cereals,bottled water,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
meat,pip fruit,,,,,,,,,
citrus fruit,spread cheese,,,,,,,,,
napkins,frozen vegetables,,,,,,,,,
oil,soda,waffles,,,,,,,,
root vegetables,cream,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
waffles,whole milk,,,,,,,,,
margarine,long life bakery product,,,,,,,,,
brown bread,butter milk,canned vegetables,soda,,,,,,,
pork,rolls/buns,,,,,,,,,
white wine,specialty cheese,,,,,,,,,
frankfurter,bottled water,pickled vegetables,,,,,,,,
curd,softener,,,,,,,,,
root vegetables,ham,butter,brown bread,pastry,spread cheese,,,,,
root vegetables,frozen fish,,,,,,,,,
beef,shopping bags,,,,,,,,,
beef,rolls/buns,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
tropical fruit,pork,coffee,canned beer,shopping bags,chocolate,,,,,
mayonnaise,misc. beverages,napkins,,,,,,,,
sausage,beverages,,,,,,,,,
beef,sausage,,,,,,,,,
root vegetables,yogurt,pickled vegetables,,,,,,,,
frankfurter,yogurt,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
tropical fruit,pasta,sugar,,,,,,,,
processed cheese,dog food,frozen potato products,,,,,,,,
pip fruit,yogurt,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
female sanitary products,rolls/buns,,,,,,,,,
rolls/buns,berries,canned vegetables,dessert,,,,,,,
pork,rolls/buns,,,,,,,,,
soda,curd cheese,root vegetables,semi-finished bread,,,,,,,
frankfurter,other vegetables,ham,other vegetables,other vegetables,fruit/vegetable juice,rolls/buns,fruit/vegetable juice,rolls/buns,,
whole milk,root vegetables,,,,,,,,,
canned beer,white bread,,,,,,,,,
pip fruit,cookware,rolls/buns,whole milk,,,,,,,
napkins,citrus fruit,,,,,,,,,
citrus fruit,onions,salty snack,brown bread,,,,,,,
root vegetables,dessert,,,,,,,,,
vinegar,dog food,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
dessert,soda,,,,,,,,,
other vegetables,berries,,,,,,,,,
bottled water,sausage,yogurt,bottled water,,,,,,,
tropical fruit,whole milk,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
sausage,whole milk,rolls/buns,,,,,,,,
whole milk,bottled water,UHT-milk,candy,,,,,,,
herbs,newspapers,brown bread,,,,,,,,
misc. beverages,other vegetables,brown bread,,,,,,,,
domestic eggs,other vegetables,brown bread,,,,,,,,
whipped/sour cream,pork,pastry,soda,,,,,,,
frankfurter,beverages,,,,,,,,,
tropical fruit,soda,,,,,,,,,
onions,frozen dessert,,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
tea,pip fruit,,,,,,,,,
tropical fruit,dishes,other vegetables,,,,,,,,
shopping bags,whole milk,cling film/bags,bottled beer,newspapers,,,,,,
soda,roll products ,seasonal products,,,,,,,,
soda,canned fish,,,,,,,,,
citrus fruit,beverages,pasta,,,,,,,,
specialty bar,chewing gum,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
hamburger meat,pip fruit,rolls/buns,dishes,,,,,,,
meat,specialty cheese,,,,,,,,,
white bread,other vegetables,,,,,,,,,
butter milk,other vegetables,,,,,,,,,
pastry,whole milk,,,,,,,,,
dessert,nut snack,bottled water,,,,,,,,
soda,bottled water,,,,,,,,,
soda,bottled water,,,,,,,,,
ham,dessert,,,,,,,,,
ham,whole milk,whole milk,soda,,,,,,,
rolls/buns,yogurt,,,,,,,,,
canned beer,margarine,white bread,,,,,,,,
frozen meals,root vegetables,cat food,,,,,,,,
meat,condensed milk,,,,,,,,,
whole milk,butter,soda,fruit/vegetable juice,,,,,,,
shopping bags,curd,,,,,,,,,
soda,tropical fruit,specialty chocolate,root vegetables,,,,,,,
tropical fruit,whole milk,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
pip fruit,specialty chocolate,,,,,,,,,
newspapers,canned beer,,,,,,,,,
pork,canned beer,whole milk,rolls/buns,,,,,,,
bottled water,roll products ,butter,coffee,rum,,,,,,
pip fruit,white wine,root vegetables,shopping bags,,,,,,,
whole milk,soft cheese,frozen vegetables,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
cream cheese ,pastry,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
sausage,sausage,canned beer,spices,,,,,,,
curd,whole milk,pet care,,,,,,,,
soda,detergent,,,,,,,,,
canned beer,hamburger meat,cake bar,,,,,,,,
kitchen towels,bottled water,citrus fruit,butter,hygiene articles,,,,,,
soda,yogurt,brown bread,,,,,,,,
roll products ,root vegetables,mayonnaise,,,,,,,,
whipped/sour cream,UHT-milk,fruit/vegetable juice,,,,,,,,
whole milk,sugar,,,,,,,,,
bottled beer,dishes,,,,,,,,,
cat food,newspapers,fruit/vegetable juice,,,,,,,,
domestic eggs,canned beer,shopping bags,,,,,,,,
whole milk,canned beer,,,,,,,,,
meat,vinegar,,,,,,,,,
baking powder,root vegetables,,,,,,,,,
cat food,male cosmetics,,,,,,,,,
frankfurter,oil,,,,,,,,,
pork,pip fruit,yogurt,salty snack,,,,,,,
yogurt,other vegetables,baking powder,candy,,,,,,,
yogurt,red/blush wine,margarine,,,,,,,,
other vegetables,coffee,,,,,,,,,
oil,canned fish,,,,,,,,,
pot plants,domestic eggs,,,,,,,,,
UHT-milk,frozen vegetables,frozen meals,,,,,,,,
frozen potato products,whipped/sour cream,,,,,,,,,
beverages,shopping bags,,,,,,,,,
spread cheese,rolls/buns,,,,,,,,,
pork,pastry,,,,,,,,,
white bread,processed cheese,,,,,,,,,
ice cream,rolls/buns,,,,,,,,,
red/blush wine,frozen meals,canned fruit,,,,,,,,
pastry,hard cheese,,,,,,,,,
frankfurter,soda,,,,,,,,,
canned beer,whole milk,,,,,,,,,
soda,shopping bags,,,,,,,,,
sausage,bottled beer,onions,other vegetables,soda,,,,,,
citrus fruit,bottled beer,butter milk,,,,,,,,
yogurt,pastry,waffles,,,,,,,,
curd,cereals,,,,,,,,,
bottled beer,oil,,,,,,,,,
chicken,bottled water,,,,,,,,,
meat,white bread,,,,,,,,,
beef,liquor,specialty cheese,,,,,,,,
whole milk,shopping bags,rolls/buns,,,,,,,,
processed cheese,other vegetables,,,,,,,,,
sausage,pork,sugar,,,,,,,,
root vegetables,hygiene articles,,,,,,,,,
whole milk,male cosmetics,,,,,,,,,
whole milk,newspapers,,,,,,,,,
rolls/buns,rum,,,,,,,,,
pip fruit,cereals,,,,,,,,,
other vegetables,shopping bags,other vegetables,,,,,,,,
other vegetables,whole milk,,,,,,,,,
soda,yogurt,,,,,,,,,
tropical fruit,candy,,,,,,,,,
whole milk,cleaner,,,,,,,,,
pastry,root vegetables,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
other vegetables,waffles,,,,,,,,,
whipped/sour cream,baking powder,,,,,,,,,
sausage,onions,,,,,,,,,
whole milk,yogurt,,,,,,,,,
beef,semi-finished bread,,,,,,,,,
frozen potato products,pastry,,,,,,,,,
pork,canned fish,zwieback,frozen vegetables,,,,,,,
curd,whole milk,red/blush wine,,,,,,,,
tropical fruit,soda,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
citrus fruit,whipped/sour cream,liquor,,,,,,,,
pastry,yogurt,,,,,,,,,
whole milk,brown bread,soda,,,,,,,,
sauces,tropical fruit,,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
soda,shopping bags,napkins,,,,,,,,
tropical fruit,shopping bags,cream cheese ,pasta,,,,,,,
other vegetables,curd,yogurt,pudding powder,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
yogurt,curd,,,,,,,,,
bottled beer,whole milk,soda,whole milk,soft cheese,soda,shopping bags,sugar,,,
sausage,onions,mustard,,,,,,,,
citrus fruit,sweet spreads,,,,,,,,,
candy,pot plants,,,,,,,,,
sausage,bottled water,napkins,,,,,,,,
margarine,mayonnaise,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
hard cheese,specialty bar,,,,,,,,,
tropical fruit,domestic eggs,vinegar,whipped/sour cream,,,,,,,
curd,pastry,,,,,,,,,
other vegetables,coffee,,,,,,,,,
bottled beer,cat food,newspapers,,,,,,,,
coffee,whole milk,mustard,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
canned beer,yogurt,,,,,,,,,
yogurt,chicken,UHT-milk,bottled water,,,,,,,
canned beer,yogurt,white bread,,,,,,,,
whole milk,popcorn,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
whole milk,berries,bottled water,curd,napkins,,,,,,
tropical fruit,dental care,,,,,,,,,
red/blush wine,other vegetables,rolls/buns,,,,,,,,
whole milk,whole milk,domestic eggs,,,,,,,,
other vegetables,whole milk,,,,,,,,,
ham,pastry,whole milk,specialty bar,tropical fruit,hard cheese,yogurt,candy,,,
tropical fruit,cat food,soda,,,,,,,,
other vegetables,whole milk,,,,,,,,,
butter,curd,,,,,,,,,
whipped/sour cream,coffee,,,,,,,,,
yogurt,whole milk,,,,,,,,,
coffee,dessert,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
newspapers,hamburger meat,whole milk,specialty cheese,,,,,,,
bottled water,specialty bar,curd,,,,,,,,
other vegetables,coffee,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
pork,yogurt,,,,,,,,,
pork,bottled water,,,,,,,,,
hamburger meat,shopping bags,,,,,,,,,
sparkling wine,liquor,detergent,,,,,,,,
canned beer,soda,,,,,,,,,
oil,chewing gum,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
chicken,herbs,soda,,,,,,,,
sausage,rolls/buns,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
ice cream,butter,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
pip fruit,canned vegetables,,,,,,,,,
citrus fruit,salty snack,oil,,,,,,,,
tropical fruit,whole milk,sweet spreads,,,,,,,,
chicken,soda,canned fish,,,,,,,,
pot plants,citrus fruit,whipped/sour cream,,,,,,,,
white bread,whipped/sour cream,,,,,,,,,
root vegetables,pasta,pip fruit,red/blush wine,,,,,,,
bottled water,tropical fruit,,,,,,,,,
other vegetables,soda,whole milk,sweet spreads,,,,,,,
yogurt,long life bakery product,newspapers,,,,,,,,
bottled water,curd,semi-finished bread,,,,,,,,
margarine,soda,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
frozen meals,pastry,,,,,,,,,
tropical fruit,tropical fruit,dessert,sweet spreads,,,,,,,
domestic eggs,napkins,,,,,,,,,
pastry,bottled water,,,,,,,,,
newspapers,flour,,,,,,,,,
butter,brown bread,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pastry,bottled beer,,,,,,,,,
root vegetables,dog food,,,,,,,,,
yogurt,bottled water,long life bakery product,,,,,,,,
sausage,ice cream,,,,,,,,,
pip fruit,sugar,frozen vegetables,,,,,,,,
other vegetables,sugar,,,,,,,,,
frankfurter,red/blush wine,rolls/buns,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
flower (seeds),white wine,,,,,,,,,
bottled water,pastry,,,,,,,,,
soda,canned vegetables,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
bottled beer,whole milk,citrus fruit,other vegetables,soft cheese,,,,,,
chocolate,pastry,butter,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
soft cheese,chewing gum,cling film/bags,,,,,,,,
sausage,whole milk,cake bar,,,,,,,,
chocolate,pastry,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
tropical fruit,sliced cheese,,,,,,,,,
flour,UHT-milk,,,,,,,,,
other vegetables,whole milk,sliced cheese,,,,,,,,
frankfurter,whole milk,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
other vegetables,butter,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
candy,citrus fruit,pasta,soda,,,,,,,
sausage,candy,,,,,,,,,
soda,flower (seeds),,,,,,,,,
instant coffee,candles,,,,,,,,,
pastry,semi-finished bread,,,,,,,,,
coffee,citrus fruit,other vegetables,fruit/vegetable juice,,,,,,,
whipped/sour cream,shopping bags,rolls/buns,,,,,,,,
ham,whole milk,artif. sweetener,,,,,,,,
pip fruit,pickled vegetables,,,,,,,,,
misc. beverages,salty snack,,,,,,,,,
whole milk,brown bread,,,,,,,,,
specialty bar,soda,,,,,,,,,
rolls/buns,napkins,,,,,,,,,
whole milk,yogurt,,,,,,,,,
finished products,whole milk,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
yogurt,domestic eggs,pasta,,,,,,,,
whole milk,shopping bags,,,,,,,,,
sausage,bottled water,,,,,,,,,
pork,whole milk,,,,,,,,,
frankfurter,frozen meals,,,,,,,,,
tropical fruit,berries,chocolate,,,,,,,,
brown bread,whole milk,,,,,,,,,
root vegetables,butter,dessert,,,,,,,,
yogurt,frozen meals,frozen vegetables,,,,,,,,
sausage,soda,,,,,,,,,
citrus fruit,soda,,,,,,,,,
frankfurter,hard cheese,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
other vegetables,bottled water,white bread,,,,,,,,
pip fruit,pastry,,,,,,,,,
berries,root vegetables,,,,,,,,,
whole milk,newspapers,soda,whipped/sour cream,,,,,,,
tropical fruit,sugar,,,,,,,,,
canned beer,misc. beverages,long life bakery product,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
misc. beverages,shopping bags,,,,,,,,,
misc. beverages,dessert,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
turkey,bottled water,,,,,,,,,
other vegetables,cream cheese ,tropical fruit,root vegetables,specialty chocolate,,,,,,
UHT-milk,pastry,bottled water,,,,,,,,
frankfurter,other vegetables,root vegetables,other vegetables,,,,,,,
beverages,coffee,,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
meat,soda,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
frankfurter,butter,mustard,,,,,,,,
soda,flour,cocoa drinks,,,,,,,,
liver loaf,canned beer,tropical fruit,canned vegetables,,,,,,,
canned beer,other vegetables,yogurt,,,,,,,,
other vegetables,sausage,,,,,,,,,
processed cheese,brown bread,house keeping products,,,,,,,,
soda,bottled water,,,,,,,,,
organic sausage,specialty chocolate,,,,,,,,,
pip fruit,soda,,,,,,,,,
soda,chewing gum,rolls/buns,flour,,,,,,,
citrus fruit,citrus fruit,soda,,,,,,,,
other vegetables,sausage,white bread,soda,,,,,,,
sausage,other vegetables,,,,,,,,,
frankfurter,pork,sliced cheese,candy,pastry,shopping bags,,,,,
bottled beer,pork,,,,,,,,,
berries,margarine,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
root vegetables,butter,specialty bar,domestic eggs,,,,,,,
berries,domestic eggs,coffee,,,,,,,,
bottled water,canned beer,,,,,,,,,
pip fruit,dishes,soft cheese,,,,,,,,
misc. beverages,newspapers,,,,,,,,,
turkey,packaged fruit/vegetables,frozen vegetables,,,,,,,,
long life bakery product,whipped/sour cream,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
softener,chocolate,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
frankfurter,baking powder,condensed milk,coffee,,,,,,,
cleaner,chewing gum,,,,,,,,,
seasonal products,white bread,specialty chocolate,soda,,,,,,,
processed cheese,root vegetables,,,,,,,,,
pork,cream cheese ,UHT-milk,,,,,,,,
flower soil/fertilizer,rolls/buns,yogurt,ice cream,whipped/sour cream,,,,,,
other vegetables,bottled water,,,,,,,,,
domestic eggs,curd cheese,,,,,,,,,
soda,onions,other vegetables,,,,,,,,
root vegetables,soda,,,,,,,,,
other vegetables,photo/film,newspapers,,,,,,,,
yogurt,specialty vegetables,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
cake bar,pastry,butter,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
berries,soda,flower (seeds),,,,,,,,
berries,fruit/vegetable juice,rolls/buns,,,,,,,,
salty snack,sugar,,,,,,,,,
whole milk,organic products,,,,,,,,,
cocoa drinks,red/blush wine,,,,,,,,,
beef,packaged fruit/vegetables,,,,,,,,,
ice cream,candy,canned beer,,,,,,,,
frozen fish,mustard,,,,,,,,,
sliced cheese,frozen chicken,,,,,,,,,
beverages,pork,,,,,,,,,
canned beer,soda,newspapers,,,,,,,,
coffee,rolls/buns,,,,,,,,,
root vegetables,ice cream,margarine,,,,,,,,
soda,UHT-milk,pastry,domestic eggs,,,,,,,
semi-finished bread,shopping bags,,,,,,,,,
curd,whole milk,,,,,,,,,
turkey,root vegetables,frozen meals,soda,spread cheese,,,,,,
whole milk,dessert,,,,,,,,,
hamburger meat,root vegetables,other vegetables,whole milk,,,,,,,
chewing gum,curd,yogurt,,,,,,,,
root vegetables,red/blush wine,,,,,,,,,
frankfurter,butter,,,,,,,,,
newspapers,frozen meals,,,,,,,,,
specialty bar,soda,,,,,,,,,
fruit/vegetable juice,chocolate,,,,,,,,,
dessert,flower (seeds),,,,,,,,,
tropical fruit,citrus fruit,chocolate,,,,,,,,
rolls/buns,napkins,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
ice cream,curd,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
hamburger meat,spread cheese,,,,,,,,,
frozen potato products,female sanitary products,whole milk,other vegetables,fruit/vegetable juice,,,,,,
bottled beer,yogurt,,,,,,,,,
hamburger meat,spread cheese,,,,,,,,,
sausage,other vegetables,,,,,,,,,
sausage,shopping bags,,,,,,,,,
berries,whole milk,other vegetables,,,,,,,,
canned beer,napkins,specialty bar,,,,,,,,
oil,male cosmetics,,,,,,,,,
tropical fruit,candy,salt,,,,,,,,
whole milk,shopping bags,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
grapes,other vegetables,domestic eggs,,,,,,,,
UHT-milk,newspapers,salty snack,,,,,,,,
sliced cheese,newspapers,frozen vegetables,,,,,,,,
chicken,whipped/sour cream,canned vegetables,,,,,,,,
soda,specialty chocolate,,,,,,,,,
pork,margarine,,,,,,,,,
tropical fruit,bottled beer,other vegetables,oil,,,,,,,
specialty chocolate,soda,curd,female sanitary products,,,,,,,
pork,other vegetables,,,,,,,,,
pip fruit,specialty bar,long life bakery product,,,,,,,,
soda,onions,pastry,,,,,,,,
frozen vegetables,butter,,,,,,,,,
ham,pickled vegetables,,,,,,,,,
meat,yogurt,soda,red/blush wine,,,,,,,
whole milk,hard cheese,soda,,,,,,,,
citrus fruit,cake bar,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
meat,other vegetables,,,,,,,,,
fruit/vegetable juice,vinegar,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
butter,root vegetables,,,,,,,,,
hard cheese,meat,beverages,curd,fruit/vegetable juice,,,,,,
other vegetables,whole milk,,,,,,,,,
canned beer,yogurt,tropical fruit,whole milk,,,,,,,
whole milk,pip fruit,,,,,,,,,
berries,pastry,,,,,,,,,
soda,cream cheese ,,,,,,,,,
coffee,detergent,rolls/buns,pasta,,,,,,,
chocolate,hard cheese,,,,,,,,,
hygiene articles,bottled water,,,,,,,,,
liquor,domestic eggs,,,,,,,,,
cake bar,flower soil/fertilizer,,,,,,,,,
newspapers,detergent,,,,,,,,,
whole milk,coffee,,,,,,,,,
fruit/vegetable juice,dessert,,,,,,,,,
pip fruit,other vegetables,bottled water,,,,,,,,
sausage,pasta,,,,,,,,,
rolls/buns,sliced cheese,,,,,,,,,
frozen vegetables,pot plants,domestic eggs,,,,,,,,
yogurt,berries,,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
butter milk,kitchen towels,,,,,,,,,
sausage,curd,,,,,,,,,
ham,other vegetables,,,,,,,,,
zwieback,whole milk,domestic eggs,,,,,,,,
whole milk,root vegetables,,,,,,,,,
hamburger meat,butter,,,,,,,,,
butter,coffee,pastry,bottled beer,,,,,,,
tropical fruit,whole milk,,,,,,,,,
instant coffee,yogurt,other vegetables,,,,,,,,
beef,shopping bags,,,,,,,,,
female sanitary products,frozen fish,,,,,,,,,
pip fruit,butter,soda,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
citrus fruit,pastry,newspapers,chewing gum,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
brown bread,waffles,,,,,,,,,
white wine,newspapers,,,,,,,,,
frankfurter,salty snack,dental care,,,,,,,,
chocolate marshmallow,yogurt,soda,,,,,,,,
citrus fruit,beef,citrus fruit,whipped/sour cream,dishes,bottled beer,whole milk,,,,
pork,light bulbs,waffles,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
pip fruit,whole milk,coffee,salty snack,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
hamburger meat,butter,,,,,,,,,
white wine,white bread,,,,,,,,,
fruit/vegetable juice,frozen vegetables,,,,,,,,,
bottled water,citrus fruit,butter,whole milk,,,,,,,
sausage,yogurt,baking powder,,,,,,,,
light bulbs,cooking chocolate,,,,,,,,,
butter milk,pickled vegetables,hygiene articles,,,,,,,,
frankfurter,canned beer,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
